Bookmark,Frame#,Role,Addr.,Trans ID,PDU ID,Param Len,UUID/Svc Handle,Attribute,UUID,Version,Frame Size,Delta,Timestamp,
,1120,Slave,1,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.983718",="6/27/2014 1:39:41.126024 PM",
,1125,Master,1,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.020708",="6/27/2014 1:39:41.146732 PM",
,1200,* Master,* 1,* 0x0001,* Search Request,* 10,* PhoneBookAccessServer,,PhoneBookAccessServer,,7,=" 00:00:02.901529",="6/27/2014 1:39:44.048261 PM",
,1201,Slave,1,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000614",="6/27/2014 1:39:44.048875 PM",
,1203,Master,1,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.012870",="6/27/2014 1:39:44.061745 PM",
,1204,Slave,1,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000584",="6/27/2014 1:39:44.062329 PM",
,1206,Master,1,0x0003,Attribute Request,12,0x 00 01 00 06,Protocol Descriptor List,,,26,=" 00:00:00.029397",="6/27/2014 1:39:44.091726 PM",
,1207,Slave,1,0x0003,Attribute Response,27,,Protocol Descriptor List,L2CAP,,41,=" 00:00:00.000582",="6/27/2014 1:39:44.092308 PM",
,1559,Master,3,0x0000,Search/Attrib Request,22,Handsfree,Service Class ID List,Handsfree,,36,=" 00:04:55.881067",="6/27/2014 1:44:39.973375 PM",
,1562,Slave,3,0x0000,Search/Attrib Response,56,,Service Class ID List,Handsfree,v1.5,70,=" 00:00:00.033174",="6/27/2014 1:44:40.006549 PM",
,1641,Slave,3,0x0001,Search Request,10,DialUpNet,,Dialup Networking,,24,=" 00:00:02.488647",="6/27/2014 1:44:42.495196 PM",
,1642,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000594",="6/27/2014 1:44:42.495790 PM",
,1685,Slave,3,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.442023",="6/27/2014 1:44:43.937813 PM",
,1686,Master,3,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000753",="6/27/2014 1:44:43.938566 PM",
,1688,Slave,3,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.055384",="6/27/2014 1:44:43.993950 PM",
,1689,Master,3,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000565",="6/27/2014 1:44:43.994515 PM",
,1694,Slave,3,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.056900",="6/27/2014 1:44:44.051415 PM",
,1695,Master,3,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.000711",="6/27/2014 1:44:44.052126 PM",
,1697,Slave,3,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.055326",="6/27/2014 1:44:44.107452 PM",
,1698,Master,3,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.003649",="6/27/2014 1:44:44.111101 PM",
,1703,Slave,3,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.050197",="6/27/2014 1:44:44.161298 PM",
,1704,Master,3,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.000519",="6/27/2014 1:44:44.161817 PM",
,1725,Slave,3,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.199753",="6/27/2014 1:44:44.361570 PM",
,1726,Master,3,0x0001,Search Response,5,,,,,19,=" 00:00:00.000784",="6/27/2014 1:44:44.362354 PM",
,1777,Master,3,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.090095",="6/27/2014 1:44:46.452449 PM",
,1783,Slave,3,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.062775",="6/27/2014 1:44:46.515224 PM",
,1888,Master,4,0x0000,Search/Attrib Request,22,Handsfree,Service Class ID List,Handsfree,,36,=" 00:00:08.650744",="6/27/2014 1:44:55.165968 PM",
,1891,Slave,4,0x0000,Search/Attrib Response,56,,Service Class ID List,Handsfree,v1.5,70,=" 00:00:00.034760",="6/27/2014 1:44:55.200728 PM",
,1970,Slave,4,0x0001,Search Request,10,DialUpNet,,Dialup Networking,,24,=" 00:00:02.104841",="6/27/2014 1:44:57.305569 PM",
,1971,Master,4,0x0001,Search Response,5,,,,,19,=" 00:00:00.000900",="6/27/2014 1:44:57.306469 PM",
,2014,Slave,4,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:01.491305",="6/27/2014 1:44:58.797774 PM",
,2015,Master,4,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000738",="6/27/2014 1:44:58.798512 PM",
,2017,Slave,4,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.059178",="6/27/2014 1:44:58.857690 PM",
,2018,Master,4,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000752",="6/27/2014 1:44:58.858442 PM",
,2023,Slave,4,0x0003,Search Request,10,OBEXPush,,OBEX Object Push,,24,=" 00:00:00.059696",="6/27/2014 1:44:58.918138 PM",
,2024,Master,4,0x0003,Search Response,9,0x 00 01 00 07,,,,23,=" 00:00:00.001247",="6/27/2014 1:44:58.919385 PM",
,2026,Slave,4,0x0004,Attribute Request,12,0x 00 01 00 07,Service Class ID List,,,26,=" 00:00:00.060039",="6/27/2014 1:44:58.979424 PM",
,2027,Master,4,0x0004,Attribute Response,13,,Service Class ID List,OBEX Object Push,,27,=" 00:00:00.000903",="6/27/2014 1:44:58.980327 PM",
,2029,Slave,4,0x0005,Attribute Request,12,0x 00 01 00 06,Unknown/Reserved Attribute ID [0x0314],,,26,=" 00:00:00.068415",="6/27/2014 1:44:59.048742 PM",
,2030,Master,4,0x0005,Attribute Response,10,,Unknown/Reserved Attribute ID [918292],,,24,=" 00:00:00.001835",="6/27/2014 1:44:59.050577 PM",
,2049,Slave,4,0x0001,Search Request,22,SyncML Client,,SyncML Client,,36,=" 00:00:00.179676",="6/27/2014 1:44:59.230253 PM",
,2050,Master,4,0x0001,Search Response,5,,,,,19,=" 00:00:00.000864",="6/27/2014 1:44:59.231117 PM",
,2116,Master,4,0x0000,Search/Attrib Request,19,AudioSink,Service Class ID List,Audio Sink,,33,=" 00:00:02.419085",="6/27/2014 1:45:01.650202 PM",
,2119,Slave,4,0x0000,Search/Attrib Response,5,,,,,19,=" 00:00:00.055068",="6/27/2014 1:45:01.705270 PM",
,2220,Slave,4,0x0001,Search Request,10,PhoneBookAccessServer,,PhoneBookAccessServer,,24,=" 00:00:04.273529",="6/27/2014 1:45:05.978799 PM",
,2221,Master,4,0x0001,Search Response,9,0x 00 01 00 06,,,,23,=" 00:00:00.000585",="6/27/2014 1:45:05.979384 PM",
,2223,Slave,4,0x0002,Attribute Request,12,0x 00 01 00 06,Service Class ID List,,,26,=" 00:00:00.055850",="6/27/2014 1:45:06.035234 PM",
,2224,Master,4,0x0002,Attribute Response,13,,Service Class ID List,PhoneBookAccessServer,,27,=" 00:00:00.000831",="6/27/2014 1:45:06.036065 PM",
,2226,Slave,4,0x0003,Attribute Request,12,0x 00 01 00 06,Protocol Descriptor List,,,26,=" 00:00:00.054749",="6/27/2014 1:45:06.090814 PM",
,2227,Master,4,0x0003,Attribute Response,27,,Protocol Descriptor List,L2CAP,,41,=" 00:00:00.001771",="6/27/2014 1:45:06.092585 PM",
